
Year-to-date numbers for all years
Year,Operations,Late Arrivals,Late Departures,Cancelled,Diverted,Percent On-Time Arrivals,Percent Late Arrivals,Percent Late Departures,Percent Cancelled,Percent Diverted
1995,"464,933","106,076","86,193","14,261","1,348",73.83,22.82,18.54,3.07,0.29
1996,"447,224","135,407","111,316","29,595","1,948",62.67,30.28,24.89,6.62,0.44
1997,"459,123","125,428","100,351","18,142","1,484",68.41,27.32,21.86,3.95,0.32
1998,"452,001","97,609","76,993","13,880","1,274",75.05,21.59,17.03,3.07,0.28
1999,"453,814","118,153","100,762","26,543","2,048",67.66,26.04,22.2,5.85,0.45
2000,"470,477","97,699","77,755","24,515","1,303",73.75,20.77,16.53,5.21,0.28
2001,"529,940","109,367","92,872","19,891",975,75.42,20.64,17.53,3.75,0.18
2002,"436,336","75,006","59,370","7,301",498,81.02,17.19,13.61,1.67,0.11
2003,"552,109","82,900","66,453","8,341",847,83.32,15.02,12.04,1.51,0.15
2004,"583,987","128,236","101,072","17,611","1,015",74.85,21.96,17.31,3.02,0.17
2005,"594,924","143,316","122,637","25,084","1,809",71.39,24.09,20.61,4.22,0.3
2006,"581,287","112,299","100,690","9,787","1,370",78.76,19.32,17.32,1.68,0.24
2007,"621,559","150,144","128,259","15,777","1,200",73.11,24.16,20.64,2.54,0.19
2008,"605,765","148,807","128,093","17,308","1,327",72.36,24.57,21.15,2.86,0.22
2009,"532,339","108,656","91,069","12,430","1,263",77.02,20.41,17.11,2.33,0.24
2010,"521,809","96,928","89,138","12,833","1,419",78.69,18.58,17.08,2.46,0.27
2011,"494,400","97,078","91,408","19,134",964,76.3,19.64,18.49,3.87,0.19 
2012,"486,133","70,908","67,081","7,104","1,004",83.75,14.59,13.8,1.46,0.21
2013,"509,519","88,210","83,040","7,561","1,131",80.98,17.31,16.3,1.48,0.22
2014,"471,949","119,994","117,969","30,852","1,477",67.72,25.43,25,6.54,0.31
2015,"469,968","95,951","90,825","11,982",973,76.83,20.42,19.33,2.55,0.21
2016,"445,827","70,882","70,978","11,665",864,81.29,15.9,15.92,2.62,0.19
2017,"450,017","97,699","92,883","8,886","1,486",75.99,21.71,20.64,1.97,0.33
2018,"570,131","97,766","98,966","17,175","1,255",79.62,17.15,17.36,3.01,0.22
